,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,19,8,3
1,2008-05-18,7,25,20,20
2,2008-05-19,16,22,15,16
3,2008-05-20,13,9,15,6
4,2008-05-21,15,7,17,0
5,2008-05-22,0,21,19,17
6,2008-05-23,12,16,16,12
7,2008-05-24,9,10,10,8
8,2008-05-25,5,9,11,8
9,2008-05-26,14,24,19,0
10,2008-05-27,6,13,13,12
11,2008-05-28,13,12,10,3
12,2008-05-29,17,10,14,11
13,2008-05-30,12,7,9,14
14,2008-05-31,10,8,15,0
15,2008-06-01,0,9,15,13
16,2008-06-02,10,16,9,8
17,2008-06-03,12,17,13,19
18,2008-06-04,13,9,17,15
19,2008-06-05,22,14,12,0
20,2008-06-06,7,26,26,17
21,2008-06-07,7,11,16,10
22,2008-06-08,12,21,22,18
23,2008-06-09,21,9,3,5
