,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,18,10,4
1,2008-05-18,17,30,16,18
2,2008-05-19,16,57,21,12
3,2008-05-20,12,19,11,9
4,2008-05-21,20,14,25,0
5,2008-05-22,0,29,26,19
6,2008-05-23,10,19,15,12
7,2008-05-24,13,11,16,3
8,2008-05-25,7,15,6,8
9,2008-05-26,19,25,18,0
10,2008-05-27,8,44,13,11
11,2008-05-28,15,17,17,10
12,2008-05-29,17,25,18,8
13,2008-05-30,10,21,12,9
14,2008-05-31,17,17,12,0
15,2008-06-01,0,13,14,9
16,2008-06-02,12,37,16,8
17,2008-06-03,11,28,17,11
18,2008-06-04,19,18,15,19
19,2008-06-05,17,27,22,0
20,2008-06-06,14,50,30,18
21,2008-06-07,11,15,17,13
22,2008-06-08,10,24,24,21
23,2008-06-09,18,26,2,4
