,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,5,3,6
1,2008-05-18,5,2,4,4
2,2008-05-19,12,5,2,2
3,2008-05-20,0,6,4,6
4,2008-05-21,5,8,4,0
5,2008-05-22,0,7,3,4
6,2008-05-23,5,7,9,9
7,2008-05-24,10,1,4,3
8,2008-05-25,4,3,3,4
9,2008-05-26,0,5,4,0
10,2008-05-27,1,8,2,5
11,2008-05-28,2,3,4,3
12,2008-05-29,7,7,4,1
13,2008-05-30,6,4,5,6
14,2008-05-31,5,4,5,0
15,2008-06-01,0,2,2,8
16,2008-06-02,7,7,5,3
17,2008-06-03,5,2,2,10
18,2008-06-04,3,4,3,4
19,2008-06-05,5,4,6,0
20,2008-06-06,7,6,11,4
21,2008-06-07,4,3,1,4
22,2008-06-08,5,0,2,8
23,2008-06-09,6,4,0,2
