,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,1,3,3
1,2008-05-18,2,20,1,5
2,2008-05-19,3,6,4,5
3,2008-05-20,1,4,3,6
4,2008-05-21,1,3,2,0
5,2008-05-22,1,7,4,4
6,2008-05-23,1,4,3,2
7,2008-05-24,6,6,3,2
8,2008-05-25,3,2,2,2
9,2008-05-26,1,2,6,0
10,2008-05-27,1,2,1,4
11,2008-05-28,2,4,3,2
12,2008-05-29,2,3,6,4
13,2008-05-30,3,1,6,7
14,2008-05-31,4,3,3,0
15,2008-06-01,0,0,6,4
16,2008-06-02,3,7,2,2
17,2008-06-03,2,0,4,5
18,2008-06-04,2,2,1,7
19,2008-06-05,3,5,6,0
20,2008-06-06,2,2,7,3
21,2008-06-07,2,3,2,3
22,2008-06-08,0,3,5,0
23,2008-06-09,5,0,0,0
