,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,0,5,6
1,2008-05-18,1,11,1,8
2,2008-05-19,5,11,6,9
3,2008-05-20,3,3,3,13
4,2008-05-21,4,4,1,0
5,2008-05-22,1,11,10,6
6,2008-05-23,2,10,7,8
7,2008-05-24,5,6,4,4
8,2008-05-25,0,4,3,2
9,2008-05-26,3,5,8,0
10,2008-05-27,4,7,6,11
11,2008-05-28,7,3,7,9
12,2008-05-29,5,5,14,7
13,2008-05-30,1,2,17,7
14,2008-05-31,0,3,9,0
15,2008-06-01,0,3,10,7
16,2008-06-02,2,5,7,1
17,2008-06-03,3,4,7,6
18,2008-06-04,5,5,3,9
19,2008-06-05,6,9,6,0
20,2008-06-06,1,5,12,4
21,2008-06-07,7,2,2,8
22,2008-06-08,1,5,4,10
23,2008-06-09,7,1,1,1
