,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,3,4,1
1,2008-05-18,5,15,10,6
2,2008-05-19,13,9,3,9
3,2008-05-20,2,5,1,4
4,2008-05-21,9,1,6,0
5,2008-05-22,0,8,6,8
6,2008-05-23,9,3,8,5
7,2008-05-24,7,3,2,1
8,2008-05-25,5,2,2,4
9,2008-05-26,4,7,4,0
10,2008-05-27,1,4,7,2
11,2008-05-28,7,6,0,3
12,2008-05-29,5,4,6,3
13,2008-05-30,4,5,10,5
14,2008-05-31,8,3,1,0
15,2008-06-01,0,2,2,8
16,2008-06-02,9,6,4,3
17,2008-06-03,4,1,1,4
18,2008-06-04,9,2,6,4
19,2008-06-05,3,4,4,0
20,2008-06-06,0,7,4,5
21,2008-06-07,3,4,4,4
22,2008-06-08,6,10,7,6
23,2008-06-09,16,3,1,1
