,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,6,5
1,2008-05-18,8,33,0,6
2,2008-05-19,13,13,4,5
3,2008-05-20,2,7,4,10
4,2008-05-21,1,7,2,0
5,2008-05-22,1,14,9,5
6,2008-05-23,3,8,8,4
7,2008-05-24,8,10,4,3
8,2008-05-25,4,4,2,2
9,2008-05-26,2,3,5,0
10,2008-05-27,3,5,4,6
11,2008-05-28,5,5,4,7
12,2008-05-29,4,6,9,5
13,2008-05-30,3,5,14,9
14,2008-05-31,4,3,7,0
15,2008-06-01,0,1,12,9
16,2008-06-02,13,9,6,2
17,2008-06-03,2,2,5,5
18,2008-06-04,6,4,3,9
19,2008-06-05,5,8,5,0
20,2008-06-06,2,4,12,4
21,2008-06-07,5,3,5,6
22,2008-06-08,4,3,6,8
23,2008-06-09,11,2,1,0
