,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,28,8
1,2008-05-18,2,6,5,8
2,2008-05-19,16,2,7,6
3,2008-05-20,1,24,19,5
4,2008-05-21,8,5,5,0
5,2008-05-22,0,14,7,3
6,2008-05-23,2,6,9,7
7,2008-05-24,8,3,2,2
8,2008-05-25,2,4,0,3
9,2008-05-26,5,6,5,0
10,2008-05-27,2,10,3,5
11,2008-05-28,6,9,4,1
12,2008-05-29,2,7,9,1
13,2008-05-30,1,3,4,6
14,2008-05-31,5,2,6,0
15,2008-06-01,0,3,7,7
16,2008-06-02,9,7,4,1
17,2008-06-03,9,10,6,2
18,2008-06-04,1,2,4,6
19,2008-06-05,5,7,7,0
20,2008-06-06,6,7,26,2
21,2008-06-07,2,2,2,4
22,2008-06-08,2,1,3,10
23,2008-06-09,4,5,0,5
