,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,138,99,81
1,2008-05-18,126,168,168,247
2,2008-05-19,231,267,167,184
3,2008-05-20,96,200,126,168
4,2008-05-21,183,149,153,2
5,2008-05-22,3,237,171,211
6,2008-05-23,170,229,135,145
7,2008-05-24,130,143,75,70
8,2008-05-25,113,129,88,106
9,2008-05-26,145,202,167,3
10,2008-05-27,96,226,126,194
11,2008-05-28,110,195,129,119
12,2008-05-29,130,181,161,159
13,2008-05-30,116,207,165,127
14,2008-05-31,107,124,62,1
15,2008-06-01,0,96,126,252
16,2008-06-02,172,253,140,139
17,2008-06-03,144,153,139,185
18,2008-06-04,148,209,149,200
19,2008-06-05,161,249,158,5
20,2008-06-06,92,282,149,144
21,2008-06-07,115,142,93,89
22,2008-06-08,129,231,169,280
23,2008-06-09,228,163,22,32
