,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,14,42,18
1,2008-05-18,14,59,27,45
2,2008-05-19,45,28,24,25
3,2008-05-20,15,40,34,31
4,2008-05-21,24,22,15,0
5,2008-05-22,1,46,32,21
6,2008-05-23,19,26,32,29
7,2008-05-24,27,28,15,12
8,2008-05-25,17,21,17,17
9,2008-05-26,16,32,27,0
10,2008-05-27,11,32,25,30
11,2008-05-28,30,37,19,18
12,2008-05-29,21,21,36,21
13,2008-05-30,13,27,40,23
14,2008-05-31,14,11,20,0
15,2008-06-01,1,13,33,41
16,2008-06-02,36,34,32,15
17,2008-06-03,26,28,23,25
18,2008-06-04,23,20,19,28
19,2008-06-05,23,27,25,0
20,2008-06-06,15,29,57,20
21,2008-06-07,23,15,20,21
22,2008-06-08,17,22,23,29
23,2008-06-09,38,19,5,8
