,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,363,297,186
1,2008-05-18,265,507,445,512
2,2008-05-19,446,709,430,372
3,2008-05-20,181,484,400,349
4,2008-05-21,330,424,470,3
5,2008-05-22,12,582,480,406
6,2008-05-23,326,539,429,302
7,2008-05-24,267,312,194,153
8,2008-05-25,200,298,195,198
9,2008-05-26,250,431,362,4
10,2008-05-27,205,628,397,426
11,2008-05-28,274,487,423,261
12,2008-05-29,276,476,434,329
13,2008-05-30,254,515,489,279
14,2008-05-31,215,280,239,2
15,2008-06-01,3,271,356,512
16,2008-06-02,357,698,441,298
17,2008-06-03,278,412,417,411
18,2008-06-04,296,504,458,385
19,2008-06-05,321,670,557,5
20,2008-06-06,191,788,554,298
21,2008-06-07,220,325,258,213
22,2008-06-08,229,480,445,587
23,2008-06-09,441,453,77,79
