,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,175,142,71
1,2008-05-18,97,241,200,184
2,2008-05-19,111,333,216,124
3,2008-05-20,43,211,207,108
4,2008-05-21,99,183,243,1
5,2008-05-22,3,240,225,111
6,2008-05-23,90,236,215,87
7,2008-05-24,58,100,92,40
8,2008-05-25,41,109,61,39
9,2008-05-26,66,157,109,0
10,2008-05-27,51,284,205,153
11,2008-05-28,75,219,226,90
12,2008-05-29,78,224,201,103
13,2008-05-30,82,213,248,81
14,2008-05-31,65,116,128,1
15,2008-06-01,2,119,157,148
16,2008-06-02,88,323,211,106
17,2008-06-03,72,200,213,128
18,2008-06-04,95,227,243,117
19,2008-06-05,95,331,323,0
20,2008-06-06,51,421,329,100
21,2008-06-07,45,126,122,70
22,2008-06-08,47,180,191,171
23,2008-06-09,104,219,42,27
