,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,4,8,3
1,2008-05-18,6,15,20,12
2,2008-05-19,17,13,5,6
3,2008-05-20,5,6,7,10
4,2008-05-21,15,3,8,0
5,2008-05-22,0,4,11,12
6,2008-05-23,7,7,6,9
7,2008-05-24,4,8,5,1
8,2008-05-25,4,1,3,3
9,2008-05-26,5,10,1,0
10,2008-05-27,6,10,7,11
11,2008-05-28,4,7,3,4
12,2008-05-29,7,9,7,9
13,2008-05-30,8,7,8,11
14,2008-05-31,5,7,2,0
15,2008-06-01,0,7,13,8
16,2008-06-02,8,11,5,6
17,2008-06-03,10,6,4,11
18,2008-06-04,16,5,7,7
19,2008-06-05,6,8,7,0
20,2008-06-06,5,11,12,8
21,2008-06-07,6,8,8,4
22,2008-06-08,5,14,12,20
23,2008-06-09,10,5,0,1
