,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,7,7,8
1,2008-05-18,10,43,10,10
2,2008-05-19,27,20,10,11
3,2008-05-20,10,12,6,21
4,2008-05-21,12,13,3,0
5,2008-05-22,0,22,17,8
6,2008-05-23,10,17,15,13
7,2008-05-24,13,14,6,4
8,2008-05-25,6,7,5,10
9,2008-05-26,8,11,12,0
10,2008-05-27,8,13,14,18
11,2008-05-28,17,11,9,12
12,2008-05-29,17,9,20,10
13,2008-05-30,6,11,20,11
14,2008-05-31,4,5,12,0
15,2008-06-01,1,5,17,17
16,2008-06-02,22,11,15,5
17,2008-06-03,10,9,7,12
18,2008-06-04,16,11,6,13
19,2008-06-05,13,17,11,0
20,2008-06-06,6,7,19,9
21,2008-06-07,17,6,7,10
22,2008-06-08,10,11,8,13
23,2008-06-09,27,5,2,1
