,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,13,11,12
1,2008-05-18,11,14,21,24
2,2008-05-19,14,22,17,26
3,2008-05-20,9,12,9,17
4,2008-05-21,14,8,15,0
5,2008-05-22,0,27,15,25
6,2008-05-23,17,15,12,22
7,2008-05-24,17,12,7,9
8,2008-05-25,12,5,7,10
9,2008-05-26,10,14,18,0
10,2008-05-27,5,20,9,12
11,2008-05-28,16,10,7,18
12,2008-05-29,13,17,14,14
13,2008-05-30,13,11,7,14
14,2008-05-31,10,7,8,0
15,2008-06-01,0,12,11,24
16,2008-06-02,20,15,8,14
17,2008-06-03,12,9,11,16
18,2008-06-04,7,10,7,25
19,2008-06-05,7,7,15,1
20,2008-06-06,4,13,16,18
21,2008-06-07,6,11,11,13
22,2008-06-08,10,10,11,25
23,2008-06-09,28,12,3,2
