,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,329,232,159
1,2008-05-18,249,422,398,440
2,2008-05-19,396,633,395,326
3,2008-05-20,163,418,345,303
4,2008-05-21,301,371,429,2
5,2008-05-22,3,519,419,360
6,2008-05-23,303,499,382,253
7,2008-05-24,243,266,174,131
8,2008-05-25,183,262,164,168
9,2008-05-26,230,387,310,3
10,2008-05-27,174,557,351,366
11,2008-05-28,235,430,376,230
12,2008-05-29,248,438,376,282
13,2008-05-30,233,455,431,236
14,2008-05-31,200,255,208,2
15,2008-06-01,2,229,303,447
16,2008-06-02,314,622,370,268
17,2008-06-03,248,371,369,363
18,2008-06-04,271,457,411,336
19,2008-06-05,294,606,500,5
20,2008-06-06,173,726,485,265
21,2008-06-07,191,295,224,178
22,2008-06-08,206,435,388,511
23,2008-06-09,388,403,66,65
