,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,16,8,9
1,2008-05-18,9,23,24,20
2,2008-05-19,24,14,15,14
3,2008-05-20,8,9,16,13
4,2008-05-21,9,6,18,0
5,2008-05-22,0,10,21,23
6,2008-05-23,14,11,13,9
7,2008-05-24,6,11,12,7
8,2008-05-25,6,10,15,12
9,2008-05-26,11,13,21,0
10,2008-05-27,1,17,18,13
11,2008-05-28,6,7,14,11
12,2008-05-29,9,8,12,13
13,2008-05-30,5,19,11,13
14,2008-05-31,9,9,6,0
15,2008-06-01,0,6,16,24
16,2008-06-02,10,18,14,5
17,2008-06-03,7,8,16,10
18,2008-06-04,11,10,8,21
19,2008-06-05,4,10,19,0
20,2008-06-06,5,12,31,16
21,2008-06-07,7,12,15,13
22,2008-06-08,5,13,19,29
23,2008-06-09,13,6,1,1
