,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,4,8,5
1,2008-05-18,11,4,5,12
2,2008-05-19,12,4,5,7
3,2008-05-20,8,4,6,6
4,2008-05-21,8,10,8,0
5,2008-05-22,0,9,13,8
6,2008-05-23,9,9,13,10
7,2008-05-24,6,6,1,6
8,2008-05-25,6,5,1,8
9,2008-05-26,8,8,11,0
10,2008-05-27,3,10,10,8
11,2008-05-28,11,4,4,5
12,2008-05-29,8,9,4,11
13,2008-05-30,9,8,10,7
14,2008-05-31,6,5,3,0
15,2008-06-01,0,1,8,18
16,2008-06-02,8,5,8,9
17,2008-06-03,8,1,6,11
18,2008-06-04,7,8,8,3
19,2008-06-05,12,7,5,0
20,2008-06-06,6,10,8,6
21,2008-06-07,7,3,4,5
22,2008-06-08,10,4,5,15
23,2008-06-09,20,5,2,3
