,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,6,13,6
1,2008-05-18,19,29,34,19
2,2008-05-19,32,21,15,14
3,2008-05-20,11,18,15,12
4,2008-05-21,23,8,22,0
5,2008-05-22,0,15,23,20
6,2008-05-23,17,15,21,11
7,2008-05-24,12,16,10,4
8,2008-05-25,10,11,7,8
9,2008-05-26,9,19,8,0
10,2008-05-27,16,23,19,11
11,2008-05-28,15,13,11,11
12,2008-05-29,14,18,13,19
13,2008-05-30,12,14,32,17
14,2008-05-31,13,17,9,0
15,2008-06-01,0,12,19,19
16,2008-06-02,25,15,12,11
17,2008-06-03,20,14,9,12
18,2008-06-04,21,16,16,23
19,2008-06-05,14,21,19,0
20,2008-06-06,9,25,23,18
21,2008-06-07,13,19,17,14
22,2008-06-08,18,26,23,33
23,2008-06-09,27,14,1,3
