,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,3,9,6
1,2008-05-18,9,12,7,10
2,2008-05-19,11,11,6,13
3,2008-05-20,7,5,4,11
4,2008-05-21,11,3,7,0
5,2008-05-22,0,6,13,11
6,2008-05-23,7,7,9,9
7,2008-05-24,7,9,3,2
8,2008-05-25,1,6,3,8
9,2008-05-26,11,7,5,0
10,2008-05-27,7,7,5,10
11,2008-05-28,5,7,3,5
12,2008-05-29,7,7,7,3
13,2008-05-30,7,7,7,4
14,2008-05-31,7,4,2,0
15,2008-06-01,0,7,6,15
16,2008-06-02,4,16,4,7
17,2008-06-03,2,11,5,5
18,2008-06-04,4,4,6,3
19,2008-06-05,4,4,4,0
20,2008-06-06,5,6,8,6
21,2008-06-07,4,6,6,5
22,2008-06-08,2,6,7,18
23,2008-06-09,10,6,0,2
