,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,179,121,71
1,2008-05-18,104,179,159,161
2,2008-05-19,111,220,165,127
3,2008-05-20,46,187,134,108
4,2008-05-21,125,173,144,2
5,2008-05-22,2,230,162,105
6,2008-05-23,100,206,147,83
7,2008-05-24,71,105,65,43
8,2008-05-25,67,125,64,53
9,2008-05-26,108,184,100,2
10,2008-05-27,42,188,115,145
11,2008-05-28,42,183,154,76
12,2008-05-29,82,175,150,92
13,2008-05-30,79,198,189,90
14,2008-05-31,63,122,91,1
15,2008-06-01,2,99,117,158
16,2008-06-02,76,239,147,112
17,2008-06-03,81,142,154,148
18,2008-06-04,92,225,171,136
19,2008-06-05,101,312,197,4
20,2008-06-06,67,344,179,94
21,2008-06-07,61,126,79,63
22,2008-06-08,76,193,163,179
23,2008-06-09,99,174,29,30
