,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,175,141,69
1,2008-05-18,97,240,202,183
2,2008-05-19,113,333,214,124
3,2008-05-20,43,211,206,108
4,2008-05-21,101,182,244,0
5,2008-05-22,3,240,223,110
6,2008-05-23,92,236,215,87
7,2008-05-24,58,100,92,40
8,2008-05-25,42,111,60,39
9,2008-05-26,66,161,109,0
10,2008-05-27,51,284,203,153
11,2008-05-28,75,220,227,89
12,2008-05-29,77,224,201,103
13,2008-05-30,82,211,248,81
14,2008-05-31,66,116,128,1
15,2008-06-01,2,119,156,147
16,2008-06-02,90,322,214,105
17,2008-06-03,74,200,210,129
18,2008-06-04,95,227,242,117
19,2008-06-05,95,331,322,0
20,2008-06-06,51,420,328,99
21,2008-06-07,44,126,122,69
22,2008-06-08,47,180,192,172
23,2008-06-09,104,219,42,27
