,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,2,7
1,2008-05-18,0,10,9,18
2,2008-05-19,3,7,11,9
3,2008-05-20,1,3,4,15
4,2008-05-21,0,6,8,0
5,2008-05-22,0,7,2,8
6,2008-05-23,3,2,2,14
7,2008-05-24,0,2,7,6
8,2008-05-25,1,6,7,10
9,2008-05-26,1,4,4,1
10,2008-05-27,0,10,1,7
11,2008-05-28,1,5,3,9
12,2008-05-29,0,4,5,14
13,2008-05-30,0,4,8,7
14,2008-05-31,1,6,8,0
15,2008-06-01,0,5,5,14
16,2008-06-02,1,12,4,16
17,2008-06-03,0,7,9,19
18,2008-06-04,0,4,4,9
19,2008-06-05,1,7,3,0
20,2008-06-06,0,13,6,8
21,2008-06-07,1,2,0,4
22,2008-06-08,0,6,8,22
23,2008-06-09,0,6,0,1
