,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,14,39,19
1,2008-05-18,14,57,24,44
2,2008-05-19,45,27,25,25
3,2008-05-20,15,39,32,31
4,2008-05-21,24,20,15,0
5,2008-05-22,1,43,30,20
6,2008-05-23,19,26,30,26
7,2008-05-24,27,27,16,10
8,2008-05-25,17,21,14,17
9,2008-05-26,16,30,24,0
10,2008-05-27,11,31,23,30
11,2008-05-28,30,37,19,18
12,2008-05-29,21,21,35,16
13,2008-05-30,13,26,39,22
14,2008-05-31,13,10,19,0
15,2008-06-01,1,12,29,40
16,2008-06-02,37,33,31,13
17,2008-06-03,26,27,20,24
18,2008-06-04,22,20,19,27
19,2008-06-05,22,28,24,0
20,2008-06-06,15,28,57,19
21,2008-06-07,23,13,18,19
22,2008-06-08,17,22,22,29
23,2008-06-09,36,18,5,7
