,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,11,5,9
1,2008-05-18,20,28,34,43
2,2008-05-19,52,41,24,23
3,2008-05-20,19,18,11,26
4,2008-05-21,24,16,25,0
5,2008-05-22,0,21,31,38
6,2008-05-23,37,25,26,23
7,2008-05-24,24,21,14,7
8,2008-05-25,17,10,15,18
9,2008-05-26,13,20,40,1
10,2008-05-27,19,34,19,30
11,2008-05-28,23,20,20,17
12,2008-05-29,21,24,21,28
13,2008-05-30,17,21,16,16
14,2008-05-31,12,15,11,0
15,2008-06-01,0,11,23,48
16,2008-06-02,35,32,23,13
17,2008-06-03,30,9,16,27
18,2008-06-04,29,19,16,24
19,2008-06-05,39,19,19,0
20,2008-06-06,16,28,33,24
21,2008-06-07,19,16,12,12
22,2008-06-08,24,33,39,45
23,2008-06-09,45,20,2,5
