,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,171,143,70
1,2008-05-18,96,238,196,180
2,2008-05-19,106,330,209,121
3,2008-05-20,41,201,205,106
4,2008-05-21,95,180,238,0
5,2008-05-22,3,234,217,106
6,2008-05-23,79,229,210,84
7,2008-05-24,56,97,90,37
8,2008-05-25,36,109,58,37
9,2008-05-26,67,152,107,1
10,2008-05-27,45,271,205,150
11,2008-05-28,71,216,221,88
12,2008-05-29,76,215,193,99
13,2008-05-30,72,206,244,79
14,2008-05-31,58,111,125,1
15,2008-06-01,2,119,153,143
16,2008-06-02,84,316,206,104
17,2008-06-03,66,197,207,126
18,2008-06-04,91,216,240,114
19,2008-06-05,86,322,311,0
20,2008-06-06,48,416,318,100
21,2008-06-07,43,124,117,71
22,2008-06-08,43,175,185,169
23,2008-06-09,97,220,39,27
