,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,359,295,186
1,2008-05-18,261,507,443,510
2,2008-05-19,446,704,428,370
3,2008-05-20,180,484,393,345
4,2008-05-21,328,421,468,3
5,2008-05-22,7,576,479,403
6,2008-05-23,323,538,423,304
7,2008-05-24,265,312,194,155
8,2008-05-25,200,298,196,202
9,2008-05-26,250,434,361,3
10,2008-05-27,200,625,395,416
11,2008-05-28,273,480,422,258
12,2008-05-29,275,474,430,327
13,2008-05-30,252,513,488,278
14,2008-05-31,214,281,244,2
15,2008-06-01,3,266,354,510
16,2008-06-02,355,692,430,294
17,2008-06-03,276,410,418,412
18,2008-06-04,293,502,457,384
19,2008-06-05,319,665,552,5
20,2008-06-06,190,785,555,298
21,2008-06-07,218,322,257,216
22,2008-06-08,224,478,438,585
23,2008-06-09,436,447,77,79
