,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,114,85,45
1,2008-05-18,66,150,113,104
2,2008-05-19,54,186,119,95
3,2008-05-20,24,140,105,72
4,2008-05-21,50,113,107,1
5,2008-05-22,3,151,93,58
6,2008-05-23,44,157,87,53
7,2008-05-24,35,62,43,26
8,2008-05-25,34,75,29,33
9,2008-05-26,51,97,56,0
10,2008-05-27,25,128,94,98
11,2008-05-28,18,138,98,60
12,2008-05-29,31,122,85,48
13,2008-05-30,27,118,113,41
14,2008-05-31,21,64,54,1
15,2008-06-01,1,76,86,101
16,2008-06-02,28,199,99,88
17,2008-06-03,33,99,109,93
18,2008-06-04,39,141,131,85
19,2008-06-05,50,194,143,1
20,2008-06-06,33,226,136,58
21,2008-06-07,34,86,54,34
22,2008-06-08,48,127,107,105
23,2008-06-09,52,93,21,24
