,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,7,4,1
1,2008-05-18,6,13,5,11
2,2008-05-19,16,8,8,7
3,2008-05-20,4,9,7,4
4,2008-05-21,9,2,7,0
5,2008-05-22,0,10,3,14
6,2008-05-23,4,6,5,8
7,2008-05-24,8,5,7,2
8,2008-05-25,8,2,5,4
9,2008-05-26,1,5,4,0
10,2008-05-27,5,10,6,3
11,2008-05-28,7,5,5,3
12,2008-05-29,7,5,7,7
13,2008-05-30,3,5,3,6
14,2008-05-31,6,4,3,0
15,2008-06-01,0,3,6,8
16,2008-06-02,12,4,5,5
17,2008-06-03,6,5,8,3
18,2008-06-04,6,3,6,9
19,2008-06-05,9,9,4,0
20,2008-06-06,5,4,6,5
21,2008-06-07,6,6,5,3
22,2008-06-08,4,5,2,6
23,2008-06-09,11,6,0,0
