,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,0,2,2,3
1,2008-05-18,21,11,12,10
2,2008-05-19,34,23,7,12
3,2008-05-20,17,10,7,9
4,2008-05-21,23,21,10,0
5,2008-05-22,1,26,16,13
6,2008-05-23,39,15,14,8
7,2008-05-24,28,15,6,5
8,2008-05-25,17,11,6,4
9,2008-05-26,16,12,8,0
10,2008-05-27,17,23,13,9
11,2008-05-28,34,12,12,8
12,2008-05-29,25,23,8,10
13,2008-05-30,26,12,10,8
14,2008-05-31,20,11,6,0
15,2008-06-01,0,5,12,17
16,2008-06-02,29,20,5,9
17,2008-06-03,26,10,10,11
18,2008-06-04,24,15,4,7
19,2008-06-05,24,13,7,0
20,2008-06-06,15,13,6,4
21,2008-06-07,20,15,3,8
22,2008-06-08,24,12,12,12
23,2008-06-09,37,9,1,4
