,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,106,97,63
1,2008-05-18,67,192,131,187
2,2008-05-19,69,319,161,129
3,2008-05-20,28,172,146,120
4,2008-05-21,57,138,174,1
5,2008-05-22,2,204,147,104
6,2008-05-23,50,185,129,91
7,2008-05-24,28,65,72,38
8,2008-05-25,16,84,36,49
9,2008-05-26,44,101,86,1
10,2008-05-27,32,258,141,174
11,2008-05-28,48,185,156,96
12,2008-05-29,54,182,138,104
13,2008-05-30,45,172,168,82
14,2008-05-31,39,79,82,2
15,2008-06-01,0,85,96,148
16,2008-06-02,60,291,152,117
17,2008-06-03,45,177,156,134
18,2008-06-04,55,195,166,105
19,2008-06-05,54,260,219,1
20,2008-06-06,31,314,215,95
21,2008-06-07,27,90,84,56
22,2008-06-08,25,143,123,187
23,2008-06-09,70,173,27,27
