,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,36,19,16
1,2008-05-18,51,106,30,40
2,2008-05-19,35,140,73,28
3,2008-05-20,10,83,69,24
4,2008-05-21,27,53,86,0
5,2008-05-22,0,103,82,28
6,2008-05-23,18,84,61,18
7,2008-05-24,14,18,22,8
8,2008-05-25,10,32,13,9
9,2008-05-26,28,46,30,0
10,2008-05-27,18,117,60,41
11,2008-05-28,19,84,79,32
12,2008-05-29,34,82,70,31
13,2008-05-30,21,79,70,17
14,2008-05-31,26,41,17,0
15,2008-06-01,0,26,36,34
16,2008-06-02,26,117,46,23
17,2008-06-03,22,85,87,30
18,2008-06-04,36,87,71,32
19,2008-06-05,35,100,86,0
20,2008-06-06,24,115,89,30
21,2008-06-07,16,36,32,16
22,2008-06-08,14,48,36,38
23,2008-06-09,33,70,11,10
