,day,05:59:59,10:59:59,16:59:59,23:59:59
0,2008-05-17,1,331,231,157
1,2008-05-18,250,421,397,441
2,2008-05-19,395,633,396,325
3,2008-05-20,163,417,342,304
4,2008-05-21,300,371,428,2
5,2008-05-22,5,517,418,361
6,2008-05-23,302,499,381,251
7,2008-05-24,244,267,175,132
8,2008-05-25,182,263,163,166
9,2008-05-26,230,386,310,3
10,2008-05-27,172,556,353,368
11,2008-05-28,234,430,375,232
12,2008-05-29,249,437,377,281
13,2008-05-30,234,456,430,235
14,2008-05-31,199,254,207,2
15,2008-06-01,2,229,305,446
16,2008-06-02,313,616,368,269
17,2008-06-03,248,371,367,361
18,2008-06-04,271,457,412,336
19,2008-06-05,294,606,499,5
20,2008-06-06,172,727,484,266
21,2008-06-07,192,292,224,178
22,2008-06-08,207,434,386,511
23,2008-06-09,386,400,66,65
